text,cible
Le produit ne fonctionne pas comme prévu.,negatif
La qualité du service a beaucoup diminué ces derniers mois.,negatif
Les fonctionnalités de l'application sont limitées et décevantes.,negatif
Le service client ne répond jamais à mes demandes.,negatif
J'ai rencontré plusieurs bugs et erreurs sur la plateforme.,negatif
La documentation est insuffisante et difficile à comprendre.,negatif
Le support technique est incompétent et non réactif.,negatif
Les prix sont beaucoup trop élevés pour ce que l'on obtient.,negatif
La mise à jour a cassé des fonctionnalités importantes.,negatif
Aucune amélioration n'a été apportée depuis longtemps.,negatif
Le produit est très lent à charger et à traiter les données.,negatif
"La plateforme est souvent hors ligne, ce qui est frustrant.",negatif
Le service n'est pas fiable et plante trop fréquemment.,negatif
Aucune explication claire n'est donnée concernant les erreurs.,negatif
Les fonctionnalités sont mal conçues et peu pratiques.,negatif
Je ne recommande pas ce produit à d'autres entreprises.,negatif
Les performances sont médiocres malgré les promesses de l'entreprise.,negatif
Le processus d'installation est compliqué et peu intuitif.,negatif
Le produit ne répond pas aux attentes de l'entreprise.,negatif
Le service ne respecte pas les délais annoncés.,negatif
Il est difficile d'obtenir des informations sur le produit.,negatif
Les mises à jour ne corrigent pas vraiment les problèmes.,negatif
Le produit est trop complexe à utiliser pour des utilisateurs non-techniques.,negatif
Le support ne suit pas les dossiers de manière efficace.,negatif
Le produit est mal optimisé et ralentit nos systèmes.,negatif
Il est difficile de se faire rembourser en cas de problème.,negatif
Les tarifs sont trop élevés pour les petites entreprises.,negatif
L'interface est peu moderne et manque de fluidité.,negatif
Les services sont souvent interrompus sans préavis.,negatif
Le service après-vente ne respecte pas les engagements pris.,negatif
Il manque de nombreuses fonctionnalités essentielles.,negatif
Le produit plante régulièrement et fait perdre du temps.,negatif
L'entreprise ne semble pas s'intéresser aux avis des clients.,negatif
Les solutions proposées ne sont pas adaptées à nos besoins.,negatif
Le produit ne fonctionne pas avec toutes les versions des systèmes d'exploitation.,negatif
Les outils fournis ne sont pas assez performants pour des besoins professionnels.,negatif
Le service est trop limité et ne justifie pas son prix.,negatif
Les frais cachés sont une vraie arnaque.,negatif
Les fonctionnalités supplémentaires sont trop coûteuses.,negatif
Les erreurs du système ne sont jamais corrigées à temps.,negatif
Les employés du support ne sont pas professionnels.,negatif
Le produit ne respecte pas les promesses faites en marketing.,negatif
L'entreprise ne prend pas en compte les demandes des clients.,negatif
Le processus d'achat est confus et mal expliqué.,negatif
Le produit ne fonctionne pas sur tous les appareils mobiles.,negatif
Les mises à jour apportent plus de problèmes que de solutions.,negatif
Le service ne dispose pas de fonctionnalités de sécurité suffisantes.,negatif
L'interface utilisateur est trop compliquée et non intuitive.,negatif
Les options de personnalisation sont trop limitées.,negatif
Le produit n'est pas compatible avec d'autres logiciels populaires.,negatif
Le service est trop lent pour être utilisé dans un environnement professionnel.,negatif
Les fonctionnalités sont constamment retardées ou abandonnées.,negatif
Les contrats sont mal rédigés et difficiles à comprendre.,negatif
Les retards sont fréquents et l'entreprise ne communique pas dessus.,negatif
Le produit ne s'intègre pas bien dans notre écosystème de travail.,negatif
Le processus de résolution des problèmes est trop long et compliqué.,negatif
Les utilisateurs se plaignent régulièrement de la lenteur du service.,negatif
Le produit n'est pas suffisamment sécurisé pour des données sensibles.,negatif
Le service ne respecte pas les normes de confidentialité.,negatif
Le support technique ne suit pas l'évolution des tickets.,negatif
La qualité du produit a diminué au fil du temps.,negatif
Les formations proposées sont insuffisantes et trop vagues.,negatif
Le service manque de transparence sur ses fonctionnalités.,negatif
Le produit ne tient pas ses promesses de performance.,negatif
Les utilisateurs se sentent délaissés après l'achat du produit.,negatif
Les réclamations sont rarement prises en compte sérieusement.,negatif
Le service est trop difficile à configurer pour les entreprises.,negatif
Il manque une fonction de sauvegarde automatique.,negatif
Les versions bêta du produit sont souvent instables.,negatif
Le produit a des incompatibilités avec des équipements standards.,negatif
L'interface est obsolète et peu conviviale.,negatif
Les mises à jour échouent souvent lors de l'installation.,negatif
Il y a trop de bugs non résolus dans le produit.,negatif
Les promesses marketing ne correspondent pas à la réalité du produit.,negatif
Le produit est trop lourd et difficile à déployer à grande échelle.,negatif
Les erreurs système sont fréquentes et perturbent le travail quotidien.,negatif
Le support ne connaît pas bien le produit et fournit des réponses génériques.,negatif
Le produit est trop cher pour les fonctionnalités qu'il offre.,negatif
Les informations de facturation sont peu claires et peu transparentes.,negatif
Les services sont toujours interrompus sans préavis.,negatif
Le produit est constamment en maintenance et ne fonctionne pas.,negatif
Le produit nécessite trop de ressources système pour fonctionner correctement.,negatif
Le service client ne semble pas avoir les informations nécessaires pour résoudre les problèmes.,negatif
L'entreprise ne propose pas de solutions adaptées à des entreprises spécifiques.,negatif
Le produit ne respecte pas les engagements de performance.,negatif
Les délais de livraison sont systématiquement dépassés.,negatif
L'interface utilisateur est mal conçue et difficile à naviguer.,negatif
Les fonctionnalités avancées sont trop compliquées à utiliser.,negatif
Le produit n'a pas évolué depuis plusieurs années.,negatif
Les outils de gestion sont inefficaces et mal conçus.,negatif
Les solutions proposées ne répondent pas aux besoins de notre entreprise.,negatif
Le produit génère trop de faux positifs et d'erreurs.,negatif
Le service de support ne connaît pas bien les problèmes techniques du produit.,negatif
Le processus d'inscription est trop complexe et décourage les utilisateurs.,negatif
Le produit ne fonctionne pas sur les dernières versions des systèmes d'exploitation.,negatif
Le service ne respecte pas les engagements de sécurité.,negatif
Les mises à jour sont inutiles et ne corrigent pas les problèmes majeurs.,negatif
Le produit est trop compliqué à maintenir sur le long terme.,negatif
L'entreprise ne semble pas prête à résoudre les problèmes rapidement.,negatif
Le produit n'offre pas assez d'options de configuration pour les utilisateurs avancés.,negatif
Le service ne dispose pas d'options de support en plusieurs langues.,negatif
L'entreprise ne communique pas clairement sur les changements dans ses services.,negatif
Le produit ne fonctionne pas dans des environnements complexes.,negatif
Le support technique prend trop de temps pour résoudre les problèmes.,negatif
Le produit est trop cher par rapport à la concurrence.,negatif
Il manque des options de personnalisation importantes dans le produit.,negatif
Le service est constamment en maintenance et cela perturbe les utilisateurs.,negatif
Le produit est trop limité pour les besoins d'une entreprise en croissance.,negatif
Les fonctionnalités de base sont insuffisantes pour une utilisation professionnelle.,negatif
Le service ne respecte pas les délais de réponse.,negatif
Les erreurs sur le produit ne sont jamais corrigées rapidement.,negatif
Le produit ne correspond pas aux attentes créées par le marketing.,negatif
Il n'y a pas de communication claire sur les nouveaux développements produits.,negatif
Le produit manque de flexibilité pour s'adapter aux besoins des utilisateurs.,negatif
Le support ne résout pas les problèmes techniques efficacement.,negatif
Le service client ne semble pas avoir une bonne connaissance du produit.,negatif
Le produit est difficile à intégrer avec d'autres outils utilisés dans l'entreprise.,negatif
Le service est trop lent et ne répond pas aux besoins des utilisateurs.,negatif
Le produit ne répond pas aux attentes de base.,negatif
Le processus de commande est trop complexe et long.,negatif
Le service n'est jamais disponible lorsque vous en avez besoin.,negatif
Le produit a cessé de fonctionner après une mise à jour.,negatif
Le support technique ne sait pas résoudre les problèmes correctement.,negatif
L'interface utilisateur est mal conçue et non intuitive.,negatif
Le produit consomme trop de ressources systèmes.,negatif
Les fonctionnalités sont très limitées pour un produit payé.,negatif
Le service client ne prend pas en charge les demandes urgentes.,negatif
Les bugs persistent même après plusieurs mises à jour.,negatif
Le produit est difficile à configurer et à installer.,negatif
Le produit n'offre pas d'intégration avec des outils populaires.,negatif
Les options de personnalisation sont insuffisantes.,negatif
Le service est trop cher par rapport à la concurrence.,negatif
Le produit ne correspond pas à la description marketing.,negatif
L'expérience utilisateur est frustrante et non optimisée.,negatif
Le support technique est très lent à répondre.,negatif
Le service tombe fréquemment en panne sans explication.,negatif
Le produit est instable et plante souvent.,negatif
Le service manque de fonctionnalités essentielles.,negatif
Il y a des erreurs constantes dans les calculs du produit.,negatif
L'interface est obsolète et peu esthétique.,negatif
Les promesses du produit ne sont pas tenues.,negatif
Le processus de remboursement est compliqué et peu transparent.,negatif
Le service client ne répond pas aux e-mails.,negatif
Le produit ne fonctionne pas correctement avec des versions plus anciennes de l'OS.,negatif
Les rapports générés par le produit sont incomplets.,negatif
Le produit a des problèmes de compatibilité avec d'autres logiciels.,negatif
Les options de sécurité sont insuffisantes.,negatif
Le produit est souvent en maintenance non annoncée.,negatif
Le service n'est pas assez flexible pour s'adapter aux besoins spécifiques.,negatif
Le support ne résout pas les problèmes de manière efficace.,negatif
Les fonctionnalités sont trop peu nombreuses pour justifier le prix.,negatif
Les informations sur les erreurs ne sont pas assez détaillées.,negatif
Le service est peu fiable et trop souvent interrompu.,negatif
Il manque des fonctionnalités de sauvegarde et de récupération.,negatif
Le processus d'installation est fastidieux et mal documenté.,negatif
Le service client est incompétent et mal formé.,negatif
Le produit est lent et peu performant.,negatif
Le support technique ne connaît pas les solutions aux problèmes courants.,negatif
Les mises à jour sont difficiles à installer et échouent fréquemment.,negatif
Le produit nécessite trop d'interventions manuelles.,negatif
Le service manque d'automatisation dans les processus.,negatif
L'entreprise ne prend pas en compte les suggestions des utilisateurs.,negatif
Les prix sont excessifs par rapport aux fonctionnalités proposées.,negatif
